apartment,google_text
VERVE Ann Arbor Apartments,"I moved into Verve in August and have had an awesome experience! One particular employee, Casey V.,  has made my time nothing short of incredible. She has always answered my many questions with a smile on her face and all the helpful information I need. I love stopping by the leasing office to speak with her whenever I have a concern. Thank you Casey and all of the other Verve staff for always being so kind!"
VERVE Ann Arbor Apartments,"Verve apartments is always clean and well-maintained, but what really sets this place apart is the staff—especially Casey Vigo. She has been so helpful from the very beginning and is incredibly friendly, professional, and always willing to go above and beyond. It’s rare to find someone so genuinely dedicated to making residents feel comfortable and cared for. Highly recommend this place to anyone looking for a great home and exceptional service!"
VERVE Ann Arbor Apartments,"Beautiful, new apartment building with a great on-site coffee shop! My daughter lives here and absolutely loves it. The staff is always friendly and welcoming, and the whole place has such a warm, inviting vibe. The greenery throughout the building is gorgeous, and the amenities are truly impressive. Highly recommend!"
VERVE Ann Arbor Apartments,"Living at Verve Ann Arbor has been such a great experience! The apartments are modern and well-maintained, and the amenities make life so convenient. The staff is always friendly and quick to help with any questions or maintenance requests. Plus, the location is perfect—close to campus and downtown. Highly recommend Verve to any UMich student looking for a comfortable and stylish place to live!"
VERVE Ann Arbor Apartments,"I moved into Verve this fall and have had an amazing experience! One of the employees, Casey Vigo, has especially gone above and beyond for the residents and is incredibly supportive and knowledgeable! 10/10!"
Hidden Valley Club Apartments,"Dear Lanna, ‼️‼️‼️

I just wanted to take a moment to share how grateful I am for your exceptional services at Hidden Valley Club Apartments in Ann Arbor. Your dedication and warm professionalism have truly made living here a wonderful experience. You consistently go above and beyond, and it doesn’t go unnoticed 👏🙏🏽💯 “During a long hard working day @ work 😩 my furniture arrived earlier than expected 😳😱🤯 and she was there to save the day, right on time. I reached out for help, and she took the time out of her very busy day, and was there to hold the door open in the cold on a very windy day for about 15-20 mins, and made sure everything was secure, and even emailed me pictures for proof that my merchandise was ok, and all there. She also made sure everything was on point before I moved in. I feel very welcomed here. I Greatly Appreciate The Hospitality @ My New Place. I Absolutely Love It…APPLY NOW‼️📣 NO BACKGROUND CHECK‼️✅ RIGHT BY THE MALL‼️🏬😁🏃🏽‍♂️💨"
Hidden Valley Club Apartments,"Pros:
My 5-star rating is for staff & maintenance Team (Lana, Nathan, Noah, Steve) & previous leasing staff (Rachel & Sydney). They are friendly and take care of things as best as they can within their control.

There is a dog park.

I am a current resident.

very good location! it has nearby access to bus stops 62,6,25, 67, briarwood mall/bus stops, Closer to freeway(I-94), some restaurants.

Cons:
In my opinion, apartment buildings are very old. Rent seems high if you are not sharing your place with others. They are working on renovating older apartments and increase the rent. There is a mandatory trash pickup fee just to take trash to the dumpster. There used to be a (club house- swimming pool & gym) which was burned down recently. residents can’t use it now. It will take a while to get it back. Please come & take a look around, talk to residents if possible and decide if you like to stay."
Hidden Valley Club Apartments,Jasmin and Lanna are awesome. Maintenance has improved and the grounds look better even though it's fall now and the leaves are falling. I recommend hidden valley because it's quiet and a nice place to stay. Prices make sense for the area. I'll more than likely renew my lease in the spring. I've seen bad reviews but to each is own.
Hidden Valley Club Apartments,"I’m not sure if I just had a different experience than others here, but mine was completely negative. I see a lot of 5-star reviews for this place, and honestly, I don’t know how. I’ll be completely transparent — this is a detailed, honest review based on my 1-year stay while working in Ann Arbor. I hope it helps you decide if this place is right for you. Keep in mind, this is my personal experience — others may have had better luck.

Apartment-

I chose the “renovated” unit mainly because it included an in-unit washer and dryer, which was important to me. However, don’t be fooled by the word “renovated.” All they did was install a new countertop and add the washer/dryer combo.
You can immediately tell the apartment is cheaply done — the paint is poorly applied, the blinds break easily, and the closet doors feel like they could fall apart with one touch.

When I moved in, the apartment wasn’t even clean. The stove was covered in thick, greasy residue that wouldn’t come off, and the floors were sticky. I had to mop multiple times before it felt livable. I genuinely don’t think they cleaned before turning the unit over.

Maintenance-

I had many issues, but two major ones stand out:

- Electrical problem:
The kitchen circuit shorted, causing three outlets (including the fridge) to stop working. I submitted a service request and maintenance came the next day. I told them it was probably a breaker issue, but they kept replacing outlets instead of checking the fuse box. They ended up wasting an entire day trying random fixes before finally sending someone the next day who confirmed — it was the breaker. Exactly what I said from the start.

- No heat during winter:
My heat went out during the coldest week of the season. The maintenance guy literally said, “I don’t know what I’m doing,” and left me with two small space heaters. I went five days without proper heat. Completely unacceptable and shows how unqualified their team is.

Insect Control -

If you like insects, you’ll feel right at home here. I lived on the basement floor, and during summer, hundreds of beetles gathered outside my bedroom window — and eventually started finding their way inside.
I tried calling the office… surprise — no one picked up (which became a theme). On top of that, there were spiders and worms throughout the apartment. It’s clear they don’t have any kind of pest control plan in place.

Leasing Office -

Easily the worst communication I’ve ever experienced from a management team. They never answer the phone — and I mean never.

One time, they decided to rekey the building doors and sent the new keys in envelopes. I never received mine. I tried calling over and over again, no response. I eventually had to go through Trowbridge just to get someone from Hidden Valley to talk to me. Their excuse was, “We were on a tour.” Either they’re severely understaffed or just don’t care.

This wasn’t a one-time thing — every time I needed to contact them, it was the same story. No one picks up, no one calls back.

Conclusion -

If you’re moving to Ann Arbor, please look elsewhere. You’ll save yourself a lot of stress and frustration. The only good thing about this place is the location — that’s it.

Don’t be fooled by management’s cookie-cutter replies or excuses to my post — they don’t reflect the real experience. Spend a little more for a better-managed and better-maintained apartment. It’ll be worth it in the long run."
Hidden Valley Club Apartments,"Did a tour with the Assistant Manager, Lanna Jones. She was very professional and informative.
The option for a discounted membership at
Crunch fitness was a real benefit as well. Due to a change in my career, I relocated to another state; but she definitely provided me with a wonderful experience."
Arbor Village Apartments,The move in was very seamless and Tori was a great help too with me being able to settle in at Ann Arbor. They had a maintenance guy show up on the same day I moved in also when I asked for some help about an appliance in my apartment. It's also a nice layout for the complex to take your dog out and have them do their business. I can tell I'll have a good time living here already.
Arbor Village Apartments,"I’ve lived at Ann Arbor Village twice with a gap in between, and it’s been one of the best places I’ve rented from in Ann Arbor. I moved out again simply because I left Ann Arbor for work. It’s a bit pricey for what you get, but all of Ann Arbor is unreasonably priced. The area is safe, quiet, convenient, and clean, plus maintenance is super responsive (literally next day responsive), as well as the leasing office staff. I had a bit of maintenance issues, but they were all resolved, which is sadly not common with apartments. They are slowly working on upgrades … new roofs, new windows, etc. Lots of maintenance people write you off in other complexes, but Arbor Village never did! I’m blanking on the maintenance guy’s names, but they have been with Arbor Village for both of my stays (so I’m guessing 3+ years), and that is rare … usually there is such high turn-over. Jasmine & Tori (who have also been there for both of my stays) are delightful, responsive, & kind. Some of my neighbors had been there for 10+ years, and again, that has to count for something. Overall, this is a great place to live, especially if you’re a single woman looking for a quiet, safe home!

If you live here, please take advantage of County Park, which is a less than 10 minute walk from these apartments—my favorite hidden gem that everyone seems to miss. You can also walk downtown, if you’re someone who is regularly active."
Arbor Village Apartments,"My husband and I would like to commend Tore for her great customer service in mid August. She handled a troublesome, difficult situation with great professionalism, poise and empathy arriving at a suitable and timely solution to the problem we presented her.
Our college age daughter was to move into an apartment at Hidden Valley Club. Prior to the move in date, she experienced several delays in communication with the leasing staff at HVC. She had several unanswered questions about the apartment, the fees, etc. We flew into town to assist her with the move, but on a very tight timeline. Many of you might recall the leasing office at Hidden Valley Club was destroyed in a fire. We were not aware of that event until we drove into the complex.
Around that same time, our daughter received a phone call informing her that Tore at Arbor Village Apts would be the point of contact for her lease signing.  With lots of unanswered questions, we headed to Arbor Village Apts in advance of our daughter who was driving into town a few hours later. Tore was immediately empathetic to the situation and offered an option for leasing an available apartment in Arbor Village: same # of bedrooms, reduced lease amount, etc. It all worked out so well!
Thanks to Tore for her professionalism, honesty and time she spent with us. We were able to move in that weekend as planned.
Karen and Stephen Elgin"
Arbor Village Apartments,"I moved into Arbor Village just a few days ago and ran into an issue with my dryer, it wouldn’t start for some reason, even though it’s a brand new machine. I was on a tight schedule that day and had a train to catch at 7pm, so I was honestly stressing out.

The maintenance team was amazing. Ethan and Toni came by multiple times to check on the issue, and after a couple of visits, they made a quick call: “We’ll just get you a new one.” And they really meant it within 10 minutes, the new dryer arrived, and they made sure everything was working perfectly before they left. Thanks to them, I was able to dry my clothes just in time for my trip.

I really appreciate how fast and efficient they were, and how they took it seriously right away. Big thanks to Ethan and Toni, hope this shoutout helps them get the recognition they deserve. Feeling much more confident about living here for the next year knowing the team is this responsive!"
Arbor Village Apartments,"Excellent landlords for the last year! Extremely quick maintenance, reasonable apartment pricing, and a very nice (to my standards atleast) apartment! Tore is always extremely helpful as well and the leasing office is quite cozy.

(Full disclosure that I wrote this review after going to a property pool party so the free tacos are definitely influencing me in some fashion here but I've had a genuinely great time renting from them!)"
The Legacy at Ann Arbor,"Choosing The Legacy at Ann Arbor as my apartment was honestly the best decision I’ve made. The rooms here are top quality, and the location couldn’t be better, it’s just a 5-minute walk to the UMich. Since it’s a new building, the air circulation and overall air quality are great. The furniture is modern and high-end, and all the appliances and daily-use products are from trusted international brands.👍

What I appreciate the most, though, is how kind and reliable the staff are. I want to give a special shout-out to the manager, Kelly — she’s helped me through so many little challenges of starting a new life here, always with so much patience and kindness. I really appreciate her professionalism and warmth. The front-desk team is also super friendly, attentive, and always willing to help."
The Legacy at Ann Arbor,"Living at Legacy Apartment Complex in Ann Arbor has been an absolutely awesome experience! Everything about this place is top-notch, and I love calling it home. The staff is super friendly and made the whole move-in process super easy. The apartments are gorgeous!! The amenities like the gym and pool are fantastic, and the community events add such a fun, welcoming touch. I’m so happy here and couldn’t ask for a better place to live!"
The Legacy at Ann Arbor,"My daughter lives and works at Legacy, and I visit her more than usual because I love the building so much.  We especially find Kelly and Denise to be extremely helpful and professional.  They are always available if/when my daughter has a question or concern.  This provides assurance to me, knowing that my daughter is in a safe and friendly environment.  I absolutely love the rooftop pool, the gym and basically all of the amenities that the building has to offer.  I rest easy knowing my daughter is living at the Legacy and the fact that the building is animal friendly is just another reason to love the Legacy."
The Legacy at Ann Arbor,I have really enjoyed living at the legacy. Management is amazing! They’re super helpful when I have any questions and they’re always in their office. Maintenance is super quick with repairs. They have fun events monthly and it’s a great opportunity to get to know other residents. The amenities are one of the best parts of living here! I totally recommend to anyone looking for housing.
The Legacy at Ann Arbor,"I’ve been living here for a few months and it’s a decent apartment. The amenities are nice and I especially like the study room and club room. The outdoor patios are well kept and let me get some sunlight. I'm interested to see how it will be kept during the winter season. I’m a big fan of the gym as well. There's a lot of equipment and I'm able to complete my usual workout.
For the apartment itself, there are some details that you can tell were a bit rushed. There are some dents in the walls and paint splatters on the floors. Nothing that is serious or takes away from it being a decent apartment. I had a hole about the size of an eraser on a pencil in my shower floor. I put in a work order and it went through fast. They patched it up and all is good now.
The elevators are constantly breaking down. I haven't heard of anyone being trapped in it, but I will go to use them and one or two are shut down for repairs.
All in all, it's a decent apartment. With it's location and amenities, the price for rent makes sense."
